title,company,location,date,summary,url
Front Desk / Guest Services Agent,Home2 by Hilton Edmonton South,"Edmonton, AB",11 days ago,Assign guests to hotel rooms. A Front Desk Agent with Home2 Suites by Hilton Edmonton South is responsible for delivering an excellent Guest and Member...,https://www.indeed.ca//pagead/clk?mo=r&ad=-6NYlbfkN0BTmcdQvo8x1K3xWMclrw_Hmsht-sKcj_cJ_quSTT1WBkqdjrsSFDocXZSBlgxTfLEKpuESjtvvq5TI_cpEx_IJHNebQvlvvX2mE8ckHj2-vC3qbaVEM7x4ZcedXnvo38IaUjYVCMgxO-337XNA-LNkr2cUpAGbezbJ80OF45kMF6CaQsUWtaI0v1rh7wAIH5e_OfFi1zMW8IbVLSGGqG8aJk_wxAdqGJQukqz25GtSVpUY_bLD-g6L3R7LdMR6CMIzpzjttzy3XJlyLweKsjbmNqfJBQI3KAXgbxRe0m7h7yCA7RAc7n85Kd7tlqF6NUdTDsmuwgkqq_JEKT2_IiJogZ1H5suyQFeqSZWEjIAaxTwQrdnJWwVArG56vLGo0qQQKuoBjNiPewaX3v4B4xssj-UXiARa7khMtwJtY1XOdT1rxBioj4Q8&p=1&fvj=1&vjs=3
LWS - Head Cashier,Lowe's Canada,"Edmonton, AB",1 day ago,"1 year experience as a head cashier; 1 year retail experience as a cashier Preferred; 1 year supervisory experience in any field, including directing,...",https://www.indeed.ca//pagead/clk?mo=r&ad=-6NYlbfkN0ALVWUtuTGbrgu54GPZXaGAvo-57-dDGNxXTPgO3qFaT5mvasJKNO18KxrrjlNuQsvm2x_zHNAMPtTeGLtM45zU1lLzwv92j90wApS96cqxrXCQfHaXvpHI_oMzKT31P5jygGHifuYzabnQ-1qIU-N9sBZoBkpUEK6-NXbzPsWJWEbIOFUN2H2JC-fN7tv3QjcrV2jPTCquqnyCE8JdmPrQJakF3UxCG1GfW7_gWM3VaEbcPO4GS6nzbGKdpPTAh2KRDdW3cZ4ocFcJvftV9428mZJzEF92Oct8rQD-8_NXlf4EkD_IEEXtVXX58gGjqClisJbHd0jfAsHnub0vY694xltW-2cAKzhxyYBqyAA9n_aQfW33Wx8Wm2r-0yefBflcjWAQsWchTfHDfJgMsm-81Ue9P70dnRWhYxX4u5e671Sk3IMun6BBy5B1rLLSXe3gvaJ9S1tjB5ac8LCmASu6u87jbBLWbAEGXSFaMJrPFY0HvLHyyPaufdW6SZyAiIgS3ND0qFQWRIbOhGisunuvBYMSRM3c00JELfXAO9_Z5JDzE3_qVyJJizaovMspPG5_LudnO6NUzKBbsdPPg1qAFa7DELHtsGJrLu5SF5BEyHVskM3EzUv8DoqJox3_G-8=&p=2&fvj=0&vjs=3
Cashier SW,Safeway,"Edmonton, AB",1 day ago,"Safeway grocery stores provide an exceptional food shopping experience to consumers from Vancouver, British Columbia to Thunder Bay, Ontario....",https://www.indeed.ca//rc/clk?jk=e0b9c4f250629587&fccid=a7baa2e2b6ad039f&vjs=3
Cashier,Safeway,"Edmonton, AB",21 hours ago,"Safeway grocery stores provide an exceptional food shopping experience to consumers from Vancouver, British Columbia to Thunder Bay, Ontario....",https://www.indeed.ca//rc/clk?jk=fb325c6cb8232fa7&fccid=a7baa2e2b6ad039f&vjs=3
Cashier,Walmart Canada,"Edmonton, AB",10 hours ago,Correctly counting back change to the Customer to prevent cash overages and shortages. Additional Responsibilities • Adheres to all company policies and...,https://www.indeed.ca//rc/clk?jk=6a4815130f7d40e6&fccid=822bc5d9a49270ea&vjs=3
Cashier,Buy Buy BABY,"Edmonton, AB",1 day ago,"Package customer purchases for removal from the store (includes wrapping, bagging) • Ensure all items intended for purchase are identified and properly scanned ...",https://www.indeed.ca//rc/clk?jk=6f57d5d88621dcdb&fccid=bdc6e7e2056c8b23&vjs=3
Cashier,Sephora,"Edmonton, AB",12 hours ago,Previous cash handling or cashier experience is preferred. Assist in maintaining standards of cleanliness and organization within the cashier zone....,https://www.indeed.ca//rc/clk?jk=80daee65cb5abc83&fccid=afda98bfc8224b19&vjs=3
Cashier/Customer Service,Fast Track Indoor Karting,"Edmonton, AB",1 day ago,We are open from the hours of 10 am to 11 pm Sunday-Thursday and 10 am to Midnight Friday-Saturday and we are open 364 days a year so evenings and weekend...,https://www.indeed.ca//company/Fast-Track-Indoor-Karting/jobs/Cashier-Customer-Service-fac62c1619ad6355?fccid=9bdaf2e4522ec8c4&vjs=3
Cashier,Blush Lane Organic Market,"Edmonton, AB",8 days ago,"Blush Lane Organic Market is looking for a permanent, part-time Cashier for our Whyte Ave location (8135 102 Street NW, Edmonton)....",https://www.indeed.ca//rc/clk?jk=b2811292bb319cc3&fccid=77ef8de68378bc56&vjs=3
Cashier/Customer Service,Mr. Pretzels,"Edmonton, AB",1 day ago,"This is a part-time job. Must be able to speak English fluently, comfortable talking with people and hard working....",https://www.indeed.ca//company/Mr.-Pretzels/jobs/Cashier-Customer-Service-d5cdb92427b88ab9?fccid=e6d2d118790ee57e&vjs=3
